species,rule,country_code,admin1_region_code
# Black bears have a set of state allow rules, but the list
# excludes New Jersey.  Add New Jersey.
mammalia;carnivora;canidae;canis;lupus dingo,block,HND,
mammalia;carnivora;canidae;canis;lupus dingo,block,HRV,
mammalia;carnivora;canidae;canis;lupus dingo,block,HTI,
mammalia;carnivora;canidae;canis;lupus dingo,block,HUN,
mammalia;carnivora;canidae;canis;lupus dingo,block,IMN,
mammalia;carnivora;canidae;canis;lupus dingo,block,IND,
mammalia;carnivora;canidae;canis;lupus dingo,block,IOT,
mammalia;carnivora;canidae;canis;lupus dingo,block,IRL,
mammalia;carnivora;canidae;canis;lupus dingo,block,IRN,
mammalia;carnivora;canidae;canis;lupus dingo,block,IRQ,
mammalia;carnivora;canidae;canis;lupus dingo,block,ISL,
mammalia;carnivora;canidae;canis;lupus dingo,block,ISR,
mammalia;carnivora;canidae;canis;lupus dingo,block,ITA,
mammalia;carnivora;canidae;canis;lupus dingo,block,JAM,
mammalia;carnivora;canidae;canis;lupus dingo,block,JEY,
mammalia;carnivora;canidae;canis;lupus dingo,block,JOR,
mammalia;carnivora;canidae;canis;lupus dingo,block,JPN,
mammalia;carnivora;canidae;canis;lupus dingo,block,KAZ,
mammalia;carnivora;canidae;canis;lupus dingo,block,KEN,
mammalia;carnivora;canidae;canis;lupus dingo,block,KGZ,
mammalia;carnivora;canidae;canis;lupus dingo,block,KHM,
mammalia;carnivora;canidae;canis;lupus dingo,block,KIR,
mammalia;carnivora;canidae;canis;lupus dingo,block,KNA,
mammalia;carnivora;canidae;canis;lupus dingo,block,KOR,
mammalia;carnivora;canidae;canis;lupus dingo,block,KWT,
mammalia;carnivora;canidae;canis;lupus dingo,block,LAO,
mammalia;carnivora;canidae;canis;lupus dingo,block,LBN,
mammalia;carnivora;canidae;canis;lupus dingo,block,LBR,
mammalia;carnivora;canidae;canis;lupus dingo,block,LBY,
mammalia;carnivora;canidae;canis;lupus dingo,block,LCA,
mammalia;carnivora;canidae;canis;lupus dingo,block,LIE,
mammalia;carnivora;canidae;canis;lupus dingo,block,LKA,
mammalia;carnivora;canidae;canis;lupus dingo,block,LSO,
mammalia;carnivora;canidae;canis;lupus dingo,block,LTU,
mammalia;carnivora;canidae;canis;lupus dingo,block,LUX,
mammalia;carnivora;canidae;canis;lupus dingo,block,LVA,
mammalia;carnivora;canidae;canis;lupus dingo,block,MAC,
mammalia;carnivora;canidae;canis;lupus dingo,block,MAF,
mammalia;carnivora;canidae;canis;lupus dingo,block,MAR,
mammalia;carnivora;canidae;canis;lupus dingo,block,MCO,
mammalia;carnivora;canidae;canis;lupus dingo,block,MDA,
mammalia;carnivora;canidae;canis;lupus dingo,block,MDG,
mammalia;carnivora;canidae;canis;lupus dingo,block,MDV,
mammalia;carnivora;canidae;canis;lupus dingo,block,MEX,
mammalia;carnivora;canidae;canis;lupus dingo,block,MHL,
mammalia;carnivora;canidae;canis;lupus dingo,block,MKD,
mammalia;carnivora;canidae;canis;lupus dingo,block,MLI,
mammalia;carnivora;canidae;canis;lupus dingo,block,MLT,
mammalia;carnivora;canidae;canis;lupus dingo,block,MMR,
mammalia;carnivora;canidae;canis;lupus dingo,block,MNE,
mammalia;carnivora;canidae;canis;lupus dingo,block,MNG,
mammalia;carnivora;canidae;canis;lupus dingo,block,MNP,
mammalia;carnivora;canidae;canis;lupus dingo,block,MOZ,
mammalia;carnivora;canidae;canis;lupus dingo,block,MRT,
mammalia;carnivora;canidae;canis;lupus dingo,block,MSR,
mammalia;carnivora;canidae;canis;lupus dingo,block,MTQ,
mammalia;carnivora;canidae;canis;lupus dingo,block,MUS,
mammalia;carnivora;canidae;canis;lupus dingo,block,MWI,
mammalia;carnivora;canidae;canis;lupus dingo,block,MYT,
mammalia;carnivora;canidae;canis;lupus dingo,block,NAM,
mammalia;carnivora;canidae;canis;lupus dingo,block,NCL,
mammalia;carnivora;canidae;canis;lupus dingo,block,NER,
mammalia;carnivora;canidae;canis;lupus dingo,block,NFK,
mammalia;carnivora;canidae;canis;lupus dingo,block,NGA,
mammalia;carnivora;canidae;canis;lupus dingo,block,NIC,
mammalia;carnivora;canidae;canis;lupus dingo,block,NIU,
mammalia;carnivora;canidae;canis;lupus dingo,block,NLD,
mammalia;carnivora;canidae;canis;lupus dingo,block,NOR,
mammalia;carnivora;canidae;canis;lupus dingo,block,NPL,
mammalia;carnivora;canidae;canis;lupus dingo,block,NRU,
mammalia;carnivora;canidae;canis;lupus dingo,block,NZL,
mammalia;carnivora;canidae;canis;lupus dingo,block,OMN,
mammalia;carnivora;canidae;canis;lupus dingo,block,PAK,
mammalia;carnivora;canidae;canis;lupus dingo,block,PAN,
mammalia;carnivora;canidae;canis;lupus dingo,block,PCN,
mammalia;carnivora;canidae;canis;lupus dingo,block,PER,
mammalia;carnivora;canidae;canis;lupus dingo,block,PHL,
mammalia;carnivora;canidae;canis;lupus dingo,block,PLW,
mammalia;carnivora;canidae;canis;lupus dingo,block,POL,
mammalia;carnivora;canidae;canis;lupus dingo,block,PRI,
mammalia;carnivora;canidae;canis;lupus dingo,block,PRK,
mammalia;carnivora;canidae;canis;lupus dingo,block,PRT,
mammalia;carnivora;canidae;canis;lupus dingo,block,PRY,
mammalia;carnivora;canidae;canis;lupus dingo,block,PSE,
mammalia;carnivora;canidae;canis;lupus dingo,block,PYF,
mammalia;carnivora;canidae;canis;lupus dingo,block,QAT,
mammalia;carnivora;canidae;canis;lupus dingo,block,REU,
mammalia;carnivora;canidae;canis;lupus dingo,block,ROU,
mammalia;carnivora;canidae;canis;lupus dingo,block,RUS,
mammalia;carnivora;canidae;canis;lupus dingo,block,RWA,
mammalia;carnivora;canidae;canis;lupus dingo,block,SAU,
mammalia;carnivora;canidae;canis;lupus dingo,block,SDN,
mammalia;carnivora;canidae;canis;lupus dingo,block,SEN,
mammalia;carnivora;canidae;canis;lupus dingo,block,SGP,
mammalia;carnivora;canidae;canis;lupus dingo,block,SGS,
mammalia;carnivora;canidae;canis;lupus dingo,block,SHN,
mammalia;carnivora;canidae;canis;lupus dingo,block,SJM,
mammalia;carnivora;canidae;canis;lupus dingo,block,SLB,
mammalia;carnivora;canidae;canis;lupus dingo,block,SLE,
mammalia;carnivora;canidae;canis;lupus dingo,block,SLV,
mammalia;carnivora;canidae;canis;lupus dingo,block,SMR,
mammalia;carnivora;canidae;canis;lupus dingo,block,SOM,
mammalia;carnivora;canidae;canis;lupus dingo,block,SPM,
mammalia;carnivora;canidae;canis;lupus dingo,block,SRB,
mammalia;carnivora;canidae;canis;lupus dingo,block,SSD,
mammalia;carnivora;canidae;canis;lupus dingo,block,STP,
mammalia;carnivora;canidae;canis;lupus dingo,block,SUR,
mammalia;carnivora;canidae;canis;lupus dingo,block,SVK,
mammalia;carnivora;canidae;canis;lupus dingo,block,SVN,
mammalia;carnivora;canidae;canis;lupus dingo,block,SWE,
mammalia;carnivora;canidae;canis;lupus dingo,block,SWZ,
mammalia;carnivora;canidae;canis;lupus dingo,block,SXM,
mammalia;carnivora;canidae;canis;lupus dingo,block,SYC,
mammalia;carnivora;canidae;canis;lupus dingo,block,SYR,
